deaths,dragonKills,baronKills,firstBloodKill,firstBloodAssist,kills,lane,neutralMinionsKilled,turretTakedowns,turretsLost,visionScore,goldEarned,timeCCingOthers,enemyMissingPings,clearedPings,totalPings,wardsPlaced,wardsKilled,detectorPlaced,position,duration,win
15,0,0,False,False,24,TOP,0,3,4,0,21411,26,8,0,8,0,0,0,SOLO,1434,True
17,0,0,False,False,26,MIDDLE,0,1,4,0,20065,44,0,0,0,0,0,0,SUPPORT,1434,True
6,0,0,False,False,4,TOP,0,1,10,25,11398,13,17,0,57,13,0,4,SOLO,1756,False
9,2,0,False,False,6,JUNGLE,159,0,10,26,11081,20,2,0,22,3,3,2,NONE,1756,False
12,0,0,False,False,10,MIDDLE,0,1,10,10,11518,0,1,0,17,3,1,0,SOLO,1756,False
6,0,0,False,False,4,BOTTOM,7,1,10,14,11609,7,10,0,19,3,6,0,CARRY,1756,False
10,0,0,False,False,5,BOTTOM,0,1,10,69,9719,71,1,0,26,29,8,0,SUPPORT,1756,False
6,0,0,False,False,10,TOP,4,1,3,11,13595,18,0,0,7,7,0,1,SOLO,1756,True
4,2,1,False,True,9,JUNGLE,161,0,3,17,12826,24,1,0,10,1,6,1,NONE,1756,True
8,0,0,True,False,13,MIDDLE,11,3,3,7,16255,19,3,0,17,3,1,0,SOLO,1756,True
6,0,0,False,False,9,BOTTOM,2,7,3,24,14437,16,4,0,25,13,0,4,CARRY,1756,True
5,0,0,False,False,2,BOTTOM,0,4,3,66,9934,35,4,0,53,35,7,4,SUPPORT,1756,True
4,1,0,True,False,12,TOP,13,6,2,14,15319,44,0,0,9,8,1,0,SOLO,1478,True
3,0,0,False,False,9,JUNGLE,149,4,2,12,11806,10,6,0,77,3,1,1,NONE,1478,True
4,0,0,False,False,3,MIDDLE,0,2,2,4,9930,14,13,0,33,3,0,0,CARRY,1478,True
5,0,0,False,False,4,BOTTOM,0,3,2,15,9487,24,1,0,8,8,1,0,SOLO,1478,True
4,0,0,False,False,2,MIDDLE,4,1,2,51,8396,41,0,0,13,22,6,4,SUPPORT,1478,True
7,0,0,False,False,4,TOP,8,0,11,11,9848,15,7,0,13,7,0,0,SOLO,1478,False
9,2,0,False,False,7,JUNGLE,103,0,11,10,10682,38,3,0,23,0,4,0,NONE,1478,False
7,0,0,False,False,0,MIDDLE,0,0,11,10,6560,2,7,0,14,5,1,1,SOLO,1478,False
3,0,0,False,False,6,BOTTOM,6,2,11,10,11182,9,5,0,20,8,0,0,CARRY,1478,False
6,0,0,False,False,2,BOTTOM,0,2,11,37,7553,29,3,0,3,20,1,3,SUPPORT,1478,False
7,1,0,False,False,3,JUNGLE,4,3,6,12,10656,20,7,0,14,9,0,0,NONE,1745,True
3,0,0,False,False,7,JUNGLE,155,5,6,30,13895,11,3,0,23,9,5,8,NONE,1745,True
2,0,1,False,False,15,MIDDLE,12,6,6,18,14133,26,16,0,155,15,1,0,SOLO,1745,True
7,0,0,False,False,5,BOTTOM,7,5,6,13,14336,12,11,0,37,10,2,3,CARRY,1745,True
5,0,0,False,False,2,BOTTOM,0,4,6,61,8816,39,5,0,24,28,5,3,SUPPORT,1745,True
6,0,0,False,False,8,TOP,10,3,9,17,13664,36,1,0,45,10,2,1,SOLO,1745,False
3,2,0,False,False,6,JUNGLE,159,1,9,40,11753,14,5,0,38,5,6,4,NONE,1745,False
7,0,0,False,False,3,MIDDLE,0,1,9,40,10707,69,1,0,67,12,6,5,SOLO,1745,False
6,1,0,False,True,4,BOTTOM,8,3,9,16,11989,10,5,0,25,6,3,0,CARRY,1745,False
11,0,0,True,False,3,BOTTOM,0,2,9,48,7852,14,3,0,25,15,11,1,SUPPORT,1745,False
9,0,0,False,False,8,TOP,0,1,11,23,13414,44,0,0,5,11,1,2,SOLO,1662,False
10,0,0,False,False,1,JUNGLE,149,0,11,20,9000,12,1,0,20,1,6,0,NONE,1662,False
