missingPings,totalPings,wardsPlaced,wardsKilled,detectorsPlaced,position,cctime,turretTakedowns,turretsLost,duration,champ,win
3,17,11,1,0,DUO,51,1,7,2354,Malphite,False
9,65,13,10,6,NONE,16,2,7,2354,Diana,False
7,75,21,3,2,DUO,14,3,7,2354,Aurora,False
12,157,13,2,0,CARRY,48,2,7,2354,Jhin,False
9,21,35,9,7,SUPPORT,45,1,7,2354,Xerath,False
10,49,8,3,0,DUO,19,1,2,1369,Jayce,False
9,27,6,0,1,NONE,18,0,2,1369,LeeSin,False
0,10,8,1,0,DUO,2,0,2,1369,Vladimir,False
0,2,6,1,0,CARRY,10,0,2,1369,KogMaw,False
4,23,21,7,4,SUPPORT,22,0,2,1369,Braum,False
3,15,8,1,0,SOLO,21,0,1,1369,Sion,True
2,34,2,3,2,NONE,18,0,1,1369,MonkeyKing,True
6,17,4,3,2,SOLO,42,1,1,1369,Taliyah,True
3,10,9,0,1,CARRY,13,1,1,1369,Jinx,True
1,11,23,8,3,SUPPORT,23,1,1,1369,Mel,True
0,17,10,3,0,SOLO,21,0,11,2023,Camille,False
5,47,7,4,2,NONE,29,0,11,2023,Karthus,False
25,52,4,6,1,SOLO,11,1,11,2023,Naafiri,False
10,29,11,4,0,CARRY,13,1,11,2023,Vayne,False
10,24,38,7,5,SUPPORT,33,0,11,2023,Lulu,False
3,7,14,2,2,DUO,21,4,2,2023,Jax,True
5,129,2,2,2,NONE,28,2,2,2023,Malphite,True
1,11,14,3,0,DUO,29,3,2,2023,Mel,True
4,30,13,7,1,CARRY,2,6,2,2023,Lucian,True
43,162,38,5,4,SUPPORT,33,3,2,2023,Braum,True
8,15,9,1,1,NONE,17,2,0,1445,Sett,True
3,29,1,2,0,NONE,9,5,0,1445,Ekko,True
7,37,7,0,1,SOLO,35,4,0,1445,Hwei,True
0,18,6,2,0,CARRY,9,6,0,1445,Draven,True
4,32,23,7,2,SUPPORT,27,5,0,1445,Thresh,True
5,14,6,0,0,DUO,16,0,11,1445,Pantheon,False
5,20,8,3,0,NONE,11,0,11,1445,Sylas,False
3,11,5,1,0,DUO,36,0,11,1445,Morgana,False
3,13,4,1,0,SOLO,12,0,11,1445,Xayah,False
8,29,27,2,5,SUPPORT,39,0,11,1445,Bard,False
0,7,6,0,1,SUPPORT,29,0,1,1002,Ornn,False
1,16,3,2,0,SUPPORT,3,0,1,1002,Naafiri,False
2,4,4,1,0,SUPPORT,1,0,1,1002,Akali,False
2,30,4,1,0,SUPPORT,6,0,1,1002,Caitlyn,False
4,11,13,2,1,SUPPORT,9,0,1,1002,Milio,False
2,3,3,0,0,SUPPORT,5,0,0,1002,Nasus,True
9,80,4,2,2,SUPPORT,8,1,0,1002,JarvanIV,True
4,25,6,0,0,SUPPORT,14,1,0,1002,Yone,True
3,10,4,0,0,SUPPORT,40,0,0,1002,Syndra,True
0,4,12,4,3,SUPPORT,26,1,0,1002,Seraphine,True
14,65,13,4,0,SOLO,37,3,4,2364,Quinn,True
15,75,22,4,6,NONE,34,3,4,2364,LeeSin,True
8,25,5,2,2,SOLO,20,7,4,2364,Tryndamere,True
19,83,16,5,5,CARRY,66,7,4,2364,Ashe,True
2,28,34,3,1,SUPPORT,23,5,4,2364,Zilean,True
9,157,5,6,0,SOLO,40,1,12,2364,Riven,False
4,35,14,7,0,SUPPORT,30,0,12,2364,Hecarim,False
19,92,6,2,0,CARRY,3,2,12,2364,Akali,False
7,27,9,1,1,CARRY,6,1,12,2364,Ezreal,False
3,13,59,14,3,SUPPORT,28,0,12,2364,Rakan,False
1,9,9,7,1,SOLO,22,3,1,1520,Urgot,True
14,53,7,2,2,NONE,15,0,1,1520,Aatrox,True
4,31,9,0,0,SOLO,93,5,1,1520,Chogath,True
0,2,9,6,1,CARRY,15,7,1,1520,Jinx,True
8,38,24,4,3,SUPPORT,15,6,1,1520,Sona,True
6,38,8,1,1,SOLO,33,1,9,1520,Quinn,False
3,30,12,0,0,NONE,4,0,9,1520,Khazix,False
0,3,10,1,1,SOLO,92,0,9,1520,Mel,False
5,6,6,3,0,CARRY,8,0,9,1520,Aphelios,False
3,10,28,9,4,SUPPORT,41,0,9,1520,Thresh,False
0,1,8,0,0,SOLO,16,0,11,1400,Sett,False
3,54,6,3,0,NONE,21,0,11,1400,Jax,False
3,14,9,2,0,SOLO,9,0,11,1400,Fizz,False
6,14,3,0,0,CARRY,8,0,11,1400,Draven,False
0,6,20,3,0,SUPPORT,52,0,11,1400,Nautilus,False
1,6,6,0,0,NONE,7,5,0,1400,Gwen,True
2,62,1,4,1,NONE,9,4,0,1400,MonkeyKing,True
4,30,3,1,1,SOLO,4,4,0,1400,Katarina,True
0,18,6,2,0,CARRY,4,6,0,1400,Kaisa,True
0,18,20,8,4,SUPPORT,42,4,0,1400,Braum,True
0,4,5,0,0,SUPPORT,12,0,2,952,Jayce,False
0,25,3,1,0,SUPPORT,9,0,2,952,XinZhao,False
12,24,6,0,0,SUPPORT,7,0,2,952,Xerath,False
1,9,4,1,0,SUPPORT,22,0,2,952,Ashe,False
0,4,5,4,0,SUPPORT,19,0,2,952,Leona,False
3,11,4,0,1,SUPPORT,12,0,0,952,Malphite,True
